platform,owner,repo,id,created,updated,default_branch,#stars,#forks
GitLab,samrit.narshing,openseach-apps,42224913,2023-01-01T06:45:30.504Z,2025-05-08T11:36:12.632Z,main,0,0.0
GitLab,rsluijtman,spottersweg,10245185,2019-01-07T13:55:14.648Z,2025-05-08T11:36:11.723Z,master,0,0.0
GitLab,jgdigitaljedi,fallstown-festivities-v2,67979177,2025-03-13T10:00:56.019Z,2025-05-08T11:36:07.929Z,master,0,0.0
GitLab,snowdroid/platform/packages/apps,OlivieLauncher,66823199,2025-02-05T07:05:54.590Z,2025-05-08T11:36:07.265Z,master,0,0.0
GitLab,elxr/test,pipeline-edge,61389480,2024-09-04T01:51:26.489Z,2025-05-08T11:36:03.916Z,main,0,0.0
GitLab,trio-challenge-reviewers,triochallenge,38421405,2022-08-08T13:24:45.139Z,2025-05-08T11:35:53.894Z,main,1,0.0
GitLab,hugefiver,superset,32818050,2022-01-14T06:02:52.851Z,2025-05-08T11:35:53.886Z,master,0,1.0
GitLab,kmanojkumar296,gitlab-foss,17299189,2020-03-05T08:59:33.504Z,2025-05-08T11:35:47.258Z,master,1,2.0
GitLab,erikmannerfelt,nixrik,47529612,2023-07-09T15:18:19.744Z,2025-05-08T11:35:46.079Z,main,0,0.0
GitLab,cip-project/cip-kernel,linux-cip,2678032,2017-02-10T18:43:23.851Z,2025-05-08T11:35:42.662Z,master,12,10.0
GitLab,cccczl,scratch-www,21967552,2020-10-23T06:08:24.692Z,2025-05-08T11:35:42.435Z,develop,0,1.0
GitLab,gitlab-org/security-products/dependencies,sentry-go,35368955,2022-04-14T19:33:43.244Z,2025-05-08T11:35:40.662Z,master,0,1.0
GitLab,GitHub.Mirror,Python,10297743,2019-01-10T08:49:41.466Z,2025-05-08T11:35:40.567Z,master,2,6.0
GitLab,gitlab-security-oss/cis,gitlabcis,57279821,2024-04-26T01:11:18.445Z,2025-05-08T11:35:39.316Z,main,10,8.0
GitLab,yuesubi,yuesubi,47867903,2023-07-20T08:40:04.837Z,2025-05-08T11:35:33.825Z,main,0,0.0
GitLab,amanda.knd,nuts_app,60533275,2024-08-02T12:11:23.385Z,2025-05-08T11:35:31.244Z,main,0,0.0
GitLab,ndmspc,ndmvr-unreal,62442552,2024-10-10T07:49:41.073Z,2025-05-08T11:35:27.628Z,main,0,0.0
GitLab,.flutter,flutter,14505222,2019-09-26T03:13:59.814Z,2025-05-08T11:35:16.278Z,master,10,1.0
GitLab,debdistutils/canary,ubuntu,45019736,2023-04-09T06:47:09.934Z,2025-05-08T11:35:15.602Z,main,1,1.0
GitLab,drizzt,rpcs3,24843053,2021-03-03T16:23:21.594Z,2025-05-08T11:35:14.144Z,master,0,0.0
GitLab,wirepair,pmo,47290054,2023-06-30T07:04:30.851Z,2025-05-08T11:35:11.048Z,main,1,0.0
GitLab,Northern.tech/Mender,gui,12890328,2019-06-17T08:03:51.831Z,2025-05-08T11:35:02.213Z,master,0,0.0
GitLab,d.gatti19,2025_assignment3_gdm,67591111,2025-03-01T15:24:14.418Z,2025-05-08T11:34:56.567Z,main,0,0.0
GitLab,Linaro/lkft/mirrors/stable,linux-stable-rc,19839876,2020-07-08T17:21:59.625Z,2025-05-08T11:34:55.383Z,master,0,0.0
GitLab,b2460,v8,31591494,2021-11-25T03:36:36.624Z,2025-05-08T11:34:55.309Z,main,1,0.0
GitLab,leandrotsampa,enigma2,16891078,2020-02-13T15:48:21.987Z,2025-05-08T11:34:48.358Z,6.3,0,0.0
GitLab,saiwp,curl,21600268,2020-10-06T12:22:07.261Z,2025-05-08T11:34:43.863Z,master,1,0.0
GitLab,CentOS/automotive,sig-docs,35256687,2022-04-11T08:13:39.209Z,2025-05-08T11:34:41.554Z,main,11,38.0
GitLab,aparcar-openwrt/openwrt,openwrt,20147193,2020-07-25T02:36:46.478Z,2025-05-08T11:34:39.710Z,master,0,2.0
GitLab,tinyMediaManager,tinyMediaManager,9945251,2018-12-16T07:40:41.199Z,2025-05-08T11:34:35.935Z,devel,225,93.0
GitLab,rycee,home-manager,8017935,2018-08-20T17:54:42.107Z,2025-05-08T11:34:33.946Z,master,8,0.0
GitLab,elodie.mayeres,comic_moth,68766898,2025-04-08T09:22:50.022Z,2025-05-08T11:34:30.029Z,develop,0,0.0
GitLab,ragerikprotection,dimasik,68072481,2025-03-17T03:38:08.721Z,2025-05-08T11:34:28.392Z,main,0,1.0
GitLab,chromiumsrc,build,11344464,2019-03-16T05:30:58.273Z,2025-05-08T11:34:28.075Z,master,0,0.0
GitLab,Nafaivel,nvim_config,33423019,2022-02-04T16:30:23.290Z,2025-05-08T11:34:25.113Z,master,0,0.0
GitLab,rluna-database/apache/elastic,logstash,10551878,2019-01-26T20:34:58.423Z,2025-05-08T11:34:22.683Z,master,2,4.0
GitLab,zrythm,zrythm,7628955,2018-07-25T13:09:22.004Z,2025-05-08T11:34:22.031Z,master,26,2.0
GitLab,partisiablockchain/governance,threshold-signature-oracle,33507436,2022-02-08T07:46:30.131Z,2025-05-08T11:34:18.901Z,main,0,1.0
GitLab,Nebulux,application-launcher,67067971,2025-02-12T20:08:02.258Z,2025-05-08T11:34:07.780Z,main,0,0.0
GitLab,cznic,libsqlite_vec,60667207,2024-08-07T15:08:14.375Z,2025-05-08T11:34:06.161Z,master,0,0.0
GitLab,sainsbury-wellcome-centre/delab,bpod-auto,31417415,2021-11-18T09:36:09.762Z,2025-05-08T11:34:04.650Z,main,3,0.0
GitLab,decentralizedinternet,Decentralized-Internet,19364490,2020-06-14T01:36:25.015Z,2025-05-08T11:33:59.257Z,master,2,0.0
GitLab,myroslavatsiupiak,homework-pe_37-tsiupiak,65591334,2024-12-20T15:49:06.117Z,2025-05-08T11:33:54.907Z,main,0,0.0
GitLab,romanmeszaros,countriesapp,67619893,2025-03-03T06:12:20.200Z,2025-05-08T11:33:49.020Z,main,0,0.0
GitLab,moduon,moduon-odoo-addons,33981404,2022-02-23T12:49:16.086Z,2025-05-08T11:33:29.441Z,17.0,2,0.0
GitLab,peginc,swade,16269883,2020-01-11T19:44:08.439Z,2025-05-08T11:33:28.993Z,develop,40,25.0
GitLab,Nebulux,system-settings,67485541,2025-02-26T09:21:16.961Z,2025-05-08T11:33:21.487Z,main,0,0.0
GitLab,b4754,bootjs,34481983,2022-03-14T17:51:24.717Z,2025-05-08T11:33:10.473Z,main,1,4.0
GitLab,dexes.eu,control-plane-sdk,60353629,2024-07-26T07:56:25.911Z,2025-05-08T11:33:02.499Z,main,0,0.0
