platform,owner,repo,id,created,updated,default_branch,#stars,#forks
GitLab,Dewotine,AnsibleProjects,15506730,2019-11-24T13:08:01.180Z,2025-05-08T13:39:10.593Z,master,0,0.0
GitLab,Samy_dje,testing-deleted-53706312,53706312,2024-01-09T19:55:18.787Z,2025-05-08T13:39:07.024Z,main,0,0.0
GitLab,katalyo,katalyo-frontend,39447003,2022-09-15T14:33:07.289Z,2025-05-08T13:39:06.013Z,main,0,0.0
GitLab,pleio,dossier-dgh,55336962,2024-02-27T10:53:35.545Z,2025-05-08T13:38:56.183Z,,2,
GitLab,test5203904,curltest,60548135,2024-08-03T04:26:01.470Z,2025-05-08T13:38:51.669Z,main,0,0.0
GitLab,nexed-app,nexed-documentation,66300497,2025-01-20T07:58:12.459Z,2025-05-08T13:38:45.004Z,main,0,0.0
GitLab,ubports/development/core,lomiri,25716028,2021-04-07T15:29:02.864Z,2025-05-08T13:38:42.931Z,main,21,29.0
GitLab,xolor,xolor.gitlab.io,6850849,2018-06-06T02:05:35.836Z,2025-05-08T13:38:34.315Z,main,0,0.0
GitLab,a-core/a-core_chisel,acoreblocks,68297224,2025-03-24T07:22:27.187Z,2025-05-08T13:38:24.580Z,master,0,0.0
GitLab,harshal_nathe,regents-invoice-generator,42822130,2023-01-23T15:16:15.348Z,2025-05-08T13:38:22.508Z,main,0,0.0
GitLab,organization-unnamed/testpad,aports,68197453,2025-03-20T11:13:27.976Z,2025-05-08T13:38:20.473Z,master,0,1.0
GitLab,x86-gcc,gcc,16384004,2020-01-18T02:25:42.770Z,2025-05-08T13:38:17.272Z,master,2,4.0
GitLab,gnutools,gcc,27372191,2021-06-11T21:13:51.657Z,2025-05-08T13:38:06.391Z,trunk,5,7.0
GitLab,veloren,veloren,10174980,2019-01-02T16:18:45.823Z,2025-05-08T13:38:06.191Z,master,2244,735.0
GitLab,davide.cieri89,fpga-course-labs,59771142,2024-07-10T13:03:35.776Z,2025-05-08T13:38:03.042Z,main,0,2.0
GitLab,Orange-OpenSource/k8s-tz/applications,homer,62495043,2024-10-11T13:40:10.547Z,2025-05-08T13:38:01.034Z,main,0,1.0
GitLab,robobucket,logseq,32395335,2021-12-27T04:30:26.309Z,2025-05-08T13:37:53.274Z,master,0,0.0
GitLab,Hirobumi,artiq,23763451,2021-01-19T06:49:24.866Z,2025-05-08T13:37:53.085Z,master,0,0.0
GitLab,horizon-europe-voxreality/multilingual-translation,speech-translation-demo,46586962,2023-06-05T08:17:21.155Z,2025-05-08T13:37:51.409Z,main,0,0.0
GitLab,yobot,code,26639682,2021-05-14T04:26:45.265Z,2025-05-08T13:37:50.980Z,main,0,3.0
GitLab,ianressa,nixos-config,67301502,2025-02-20T04:42:41.782Z,2025-05-08T13:37:49.769Z,master,0,0.0
GitLab,olatorg,OpenOLAT,39675484,2022-09-23T15:34:43.836Z,2025-05-08T13:37:40.311Z,19.1.x,2,0.0
GitLab,pythainlp,pythainlp,19089619,2020-05-30T14:21:17.348Z,2025-05-08T13:37:37.389Z,dev,1,0.0
GitLab,jimper,extract-queries,65847027,2025-01-03T18:27:08.101Z,2025-05-08T13:37:34.142Z,main,1,0.0
GitLab,verricdr,grpc,15809520,2019-12-11T01:44:22.567Z,2025-05-08T13:37:30.306Z,AspirinSJL-patch-1,0,1.0
GitLab,ModioAB,journal-gelf-proxy,9359556,2018-11-12T16:27:34.554Z,2025-05-08T13:37:29.224Z,main,0,0.0
GitLab,Orange-OpenSource/k8s-tz,applications-deployment,62497150,2024-10-11T14:44:01.945Z,2025-05-08T13:37:29.119Z,main,0,3.0
