platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors
GitLab,inkscape/vectors,content,3607969,2017-06-30T06:01:31.310Z,2025-05-08T08:01:06.031Z,master,6,8.0,994874387.0,NOASSERTION,HTML,"{""HTML"": {""size"": 87949, ""percentage"": ""83.36""}, ""CSS"": {""size"": 15766, ""percentage"": ""14.94""}, ""Python"": {""size"": 1787, ""percentage"": ""1.69""}}",466.0,5.0,23.0
GitLab,cinc-project/upstream,automate,14441201,2019-09-22T19:26:42.132Z,2025-05-08T09:55:37.437Z,stable/cinc,2,2.0,242130548.0,Apache-2.0,Go,"{""Shell"": {""size"": 670571, ""percentage"": ""2.90""}, ""Ruby"": {""size"": 1384278, ""percentage"": ""5.99""}, ""HTML"": {""size"": 855373, ""percentage"": ""3.70""}, ""Makefile"": {""size"": 120940, ""percentage"": ""0.52""}, ""Go"": {""size"": 9788599, ""percentage"": ""42.34""}, ""Dockerfile"": {""size"": 8628, ""percentage"": ""0.04""}, ""PLpgSQL"": {""size"": 1058383, ""percentage"": ""4.58""}, ""Open Policy Agent"": {""size"": 29839, ""percentage"": ""0.13""}, ""JavaScript"": {""size"": 905450, ""percentage"": ""3.92""}, ""Erlang"": {""size"": 3320932, ""percentage"": ""14.36""}, ""Lua"": {""size"": 28143, ""percentage"": ""0.12""}, ""Less"": {""size"": 78481, ""percentage"": ""0.34""}, ""SCSS"": {""size"": 781290, ""percentage"": ""3.38""}, ""CSS"": {""size"": 9561, ""percentage"": ""0.04""}, ""TypeScript"": {""size"": 3750364, ""percentage"": ""16.22""}, ""AppleScript"": {""size"": 261, ""percentage"": ""0.00""}, ""RAML"": {""size"": 1402, ""percentage"": ""0.01""}, ""Elixir"": {""size"": 239362, ""percentage"": ""1.04""}, ""PureBasic"": {""size"": 623, ""percentage"": ""0.00""}, ""jq"": {""size"": 2686, ""percentage"": ""0.01""}, ""Assembly"": {""size"": 971, ""percentage"": ""0.00""}, ""Awk"": {""size"": 2099, ""percentage"": ""0.01""}, ""Python"": {""size"": 1154, ""percentage"": ""0.00""}, ""HCL"": {""size"": 72316, ""percentage"": ""0.31""}, ""Smarty"": {""size"": 7867, ""percentage"": ""0.03""}}",3033.0,3440.0,239.0
GitLab,conpermisodelasdamas,conpermisodelasdamas.gitlab.io,26467663,2021-05-07T01:36:58.359Z,2025-05-08T02:17:31.783Z,master,0,0.0,95005905.0,MIT,SCSS,"{""Ruby"": {""size"": 314, ""percentage"": ""0.16""}, ""HTML"": {""size"": 10592, ""percentage"": ""5.51""}, ""SCSS"": {""size"": 181441, ""percentage"": ""94.33""}}",914.0,3.0,29.0
GitLab,CentOS/kmods/src,kmod-megaraid_sas,37393882,2022-06-28T09:45:29.777Z,2025-05-08T06:04:03.990Z,c9/main,0,0.0,780717.0,,C,"{""Makefile"": {""size"": 280, ""percentage"": ""0.05""}, ""C"": {""size"": 569620, ""percentage"": ""99.95""}}",62.0,167.0,2.0
GitLab,atfpersonalfiles,atomic.server,59418406,2024-06-29T22:55:01.915Z,2025-05-08T10:49:40.742Z,PRD,0,0.0,73553.0,,Nix,"{""Nix"": {""size"": 22416, ""percentage"": ""100.00""}}",67.0,1.0,2.0
GitLab,bmfsdb1,bmfsdb,66955998,2025-02-10T00:38:59.170Z,2025-05-08T10:23:07.228Z,main,4,0.0,103529224.0,NOASSERTION,PHP,"{""Dockerfile"": {""size"": 14699, ""percentage"": ""0.57""}, ""PHP"": {""size"": 1367330, ""percentage"": ""53.17""}, ""Shell"": {""size"": 10797, ""percentage"": ""0.42""}, ""Smarty"": {""size"": 7572, ""percentage"": ""0.29""}, ""HTML"": {""size"": 76606, ""percentage"": ""2.98""}, ""TypeScript"": {""size"": 26293, ""percentage"": ""1.02""}, ""Vue"": {""size"": 306921, ""percentage"": ""11.94""}, ""Blade"": {""size"": 761190, ""percentage"": ""29.60""}}",369.0,11.0,4.0
GitLab,alexfikl,dotfiles,1556595,2016-08-22T21:50:33.432Z,2025-05-08T05:47:36.174Z,main,0,0.0,929101.0,,Python,"{""Shell"": {""size"": 17391, ""percentage"": ""3.41""}, ""Python"": {""size"": 432268, ""percentage"": ""84.82""}, ""Vim Script"": {""size"": 45357, ""percentage"": ""8.90""}, ""Vim Snippet"": {""size"": 769, ""percentage"": ""0.15""}, ""TeX"": {""size"": 10937, ""percentage"": ""2.15""}, ""Typst"": {""size"": 654, ""percentage"": ""0.13""}, ""Emacs Lisp"": {""size"": 1187, ""percentage"": ""0.23""}, ""Common Workflow Language"": {""size"": 1079, ""percentage"": ""0.21""}}",620.0,3.0,2.0
GitLab,naturalis/core/network,droplists,35201773,2022-04-08T10:59:11.648Z,2025-05-08T07:36:44.609Z,main,0,0.0,32394.0,,Shell,"{""Shell"": {""size"": 296, ""percentage"": ""100.00""}}",52.0,1.0,5.0
GitLab,hestia-earth,hestia-glossary,17397465,2020-03-10T12:31:34.245Z,2025-05-08T13:36:04.738Z,develop,2,4.0,198678042.0,MIT,Python,"{""Dockerfile"": {""size"": 479, ""percentage"": ""0.25""}, ""R"": {""size"": 455, ""percentage"": ""0.24""}, ""Shell"": {""size"": 12728, ""percentage"": ""6.65""}, ""JavaScript"": {""size"": 17912, ""percentage"": ""9.36""}, ""Python"": {""size"": 158501, ""percentage"": ""82.84""}, ""Visual Basic .NET"": {""size"": 1261, ""percentage"": ""0.66""}}",4258.0,17.0,35.0
GitLab,gabrielelucci,cloud,22657960,2020-11-24T06:19:52.615Z,2025-05-08T08:14:25.819Z,master,0,0.0,157609.0,,Shell,"{""Shell"": {""size"": 5059, ""percentage"": ""95.51""}, ""Dockerfile"": {""size"": 238, ""percentage"": ""4.49""}}",237.0,1.0,1.0
GitLab,acode-pixel,protonet,62802931,2024-10-20T12:23:18.054Z,2025-05-08T09:32:30.453Z,master,0,0.0,126937.0,,C++,"{""CMake"": {""size"": 7226, ""percentage"": ""11.50""}, ""Python"": {""size"": 1918, ""percentage"": ""3.05""}, ""C++"": {""size"": 40890, ""percentage"": ""65.05""}, ""C"": {""size"": 12825, ""percentage"": ""20.40""}}",136.0,1.0,3.0
GitLab,jannick.meyer1311,MA,67865525,2025-03-10T12:03:28.890Z,2025-05-08T09:15:20.174Z,main,0,0.0,273454.0,,Python,"{""Shell"": {""size"": 1565, ""percentage"": ""0.95""}, ""Python"": {""size"": 161235, ""percentage"": ""97.54""}, ""Dockerfile"": {""size"": 2507, ""percentage"": ""1.52""}}",66.0,1.0,2.0
GitLab,dzfly,proxy,61880801,2024-09-21T09:47:44.699Z,2025-05-08T06:36:46.153Z,main,0,0.0,21547155.0,NOASSERTION,JavaScript,"{""CSS"": {""size"": 11171, ""percentage"": ""1.45""}, ""Vim Snippet"": {""size"": 43843, ""percentage"": ""5.71""}, ""JavaScript"": {""size"": 713051, ""percentage"": ""92.84""}}",212.0,1.0,2.0
GitLab,postgres,postgres,1335500,2016-06-24T22:51:02.996Z,2025-05-08T12:11:16.645Z,master,18,8.0,171304225.0,NOASSERTION,C,"{""Starlark"": {""size"": 1640, ""percentage"": ""0.00""}, ""Emacs Lisp"": {""size"": 4164, ""percentage"": ""0.01""}, ""Makefile"": {""size"": 370231, ""percentage"": ""0.64""}, ""M4"": {""size"": 192689, ""percentage"": ""0.33""}, ""Perl"": {""size"": 2532997, ""percentage"": ""4.38""}, ""Shell"": {""size"": 75837, ""percentage"": ""0.13""}, ""Meson"": {""size"": 375381, ""percentage"": ""0.65""}, ""PLpgSQL"": {""size"": 4062401, ""percentage"": ""7.02""}, ""C"": {""size"": 48736784, ""percentage"": ""84.19""}, ""Yacc"": {""size"": 701389, ""percentage"": ""1.21""}, ""Lex"": {""size"": 230536, ""percentage"": ""0.40""}, ""Python"": {""size"": 299112, ""percentage"": ""0.52""}, ""Ruby"": {""size"": 164122, ""percentage"": ""0.28""}, ""C++"": {""size"": 55704, ""percentage"": ""0.10""}, ""Assembly"": {""size"": 2468, ""percentage"": ""0.00""}, ""sed"": {""size"": 581, ""percentage"": ""0.00""}, ""DTrace"": {""size"": 3452, ""percentage"": ""0.01""}, ""XS"": {""size"": 6998, ""percentage"": ""0.01""}, ""PLSQL"": {""size"": 55013, ""percentage"": ""0.10""}, ""Roff"": {""size"": 17748, ""percentage"": ""0.03""}}",61370.0,37.0,61.0
GitLab,dmfay,pdot,45624334,2023-05-01T13:25:29.712Z,2025-05-08T03:20:44.711Z,main,9,1.0,894103.0,MPL-2.0,Rust,"{""Makefile"": {""size"": 1223, ""percentage"": ""1.59""}, ""Rust"": {""size"": 54698, ""percentage"": ""71.01""}, ""Shell"": {""size"": 2205, ""percentage"": ""2.86""}, ""PLpgSQL"": {""size"": 18904, ""percentage"": ""24.54""}}",95.0,3.0,2.0
GitLab,ceda-unibas,ceda-project-copier,68387250,2025-03-26T08:29:24.795Z,2025-05-08T08:33:52.151Z,main,0,0.0,426981.0,MIT,Jinja,"{""Python"": {""size"": 9964, ""percentage"": ""15.96""}, ""Jinja"": {""size"": 51842, ""percentage"": ""83.04""}, ""Shell"": {""size"": 230, ""percentage"": ""0.37""}, ""JavaScript"": {""size"": 392, ""percentage"": ""0.63""}}",85.0,1.0,3.0
GitLab,qemu,qemu,26491363,2021-05-07T20:52:10.104Z,2025-05-08T12:37:11.569Z,master,13,21.0,182397278.0,NOASSERTION,C,"{""Emacs Lisp"": {""size"": 75, ""percentage"": ""0.00""}, ""Vim Script"": {""size"": 220, ""percentage"": ""0.00""}, ""GDB"": {""size"": 326, ""percentage"": ""0.00""}, ""Python"": {""size"": 3831572, ""percentage"": ""4.15""}, ""Dockerfile"": {""size"": 1012, ""percentage"": ""0.00""}, ""Makefile"": {""size"": 107187, ""percentage"": ""0.12""}, ""C"": {""size"": 73759853, ""percentage"": ""79.85""}, ""Meson"": {""size"": 497107, ""percentage"": ""0.54""}, ""C++"": {""size"": 10921908, ""percentage"": ""11.82""}, ""Objective-C"": {""size"": 153300, ""percentage"": ""0.17""}, ""Assembly"": {""size"": 660430, ""percentage"": ""0.71""}, ""Shell"": {""size"": 1401297, ""percentage"": ""1.52""}, ""Haxe"": {""size"": 356676, ""percentage"": ""0.39""}, ""Pawn"": {""size"": 51488, ""percentage"": ""0.06""}, ""Linker Script"": {""size"": 29378, ""percentage"": ""0.03""}, ""NSIS"": {""size"": 6939, ""percentage"": ""0.01""}, ""Rust"": {""size"": 282195, ""percentage"": ""0.31""}, ""Perl"": {""size"": 226221, ""percentage"": ""0.24""}, ""SmPL"": {""size"": 33510, ""percentage"": ""0.04""}, ""Lex"": {""size"": 23760, ""percentage"": ""0.03""}, ""Yacc"": {""size"": 29612, ""percentage"": ""0.03""}, ""DenizenScript"": {""size"": 2931, ""percentage"": ""0.00""}, ""GLSL"": {""size"": 585, ""percentage"": ""0.00""}}",120977.0,58.0,2729.0
GitLab,openlp,openlp,14336930,2019-09-16T19:01:26.049Z,2025-05-08T11:23:28.124Z,master,114,138.0,76802392.0,GPL-3.0,Python,"{""JavaScript"": {""size"": 276809, ""percentage"": ""2.73""}, ""Python"": {""size"": 9725075, ""percentage"": ""95.95""}, ""CSS"": {""size"": 81555, ""percentage"": ""0.80""}, ""HTML"": {""size"": 42441, ""percentage"": ""0.42""}, ""PostScript"": {""size"": 204, ""percentage"": ""0.00""}, ""Shell"": {""size"": 9878, ""percentage"": ""0.10""}}",18095.0,12.0,166.0
