platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Forgejo,bit-shift-io,rust-verlet,420593,2025-04-08T01:08:48Z,2025-04-08T01:08:53Z,main,0,0,755565.0,,Rust,"{""WGSL"": {""size"": 1127, ""percentage"": ""0.25""}, ""Rust"": {""size"": 453722, ""percentage"": ""99.74""}, ""Shell"": {""size"": 78, ""percentage"": ""0.02""}}",180.0,1.0,2.0,0.0,0.0
Forgejo,CaSchmidt,csHeapsort,413462,2025-04-05T14:58:28Z,2025-04-06T14:56:15Z,master,0,0,1175637.0,NOASSERTION,C++,"{""QMake"": {""size"": 1302, ""percentage"": ""2.67""}, ""C"": {""size"": 8137, ""percentage"": ""16.69""}, ""C++"": {""size"": 39309, ""percentage"": ""80.64""}}",6.0,1.0,1.0,0.0,0.0
Forgejo,flolilo,timecalc,405381,2025-04-02T09:52:56Z,2025-04-03T22:32:27Z,main,0,0,69976.0,EUPL-1.2,,,4.0,1.0,1.0,0.0,0.0
Forgejo,Lib4RI,data_migrator,257594,2024-09-13T08:20:13Z,2025-04-04T17:01:40Z,main,0,0,81243.0,GPL-3.0,PHP,"{""PHP"": {""size"": 5030, ""percentage"": ""100.00""}}",3.0,3.0,2.0,0.0,0.0
Forgejo,jaw,common-cpp,418787,2025-04-07T12:56:19Z,2025-04-07T12:56:24Z,master,0,0,100108.0,MIT,C++,"{""Makefile"": {""size"": 598, ""percentage"": ""1.21""}, ""C++"": {""size"": 47230, ""percentage"": ""95.56""}, ""C"": {""size"": 1596, ""percentage"": ""3.23""}}",29.0,1.0,2.0,0.0,0.0
Forgejo,n30w,dotfiles,246768,2024-08-12T09:53:24Z,2025-04-13T22:41:46Z,main,0,0,59525.0,,Shell,"{""Shell"": {""size"": 5899, ""percentage"": ""100.00""}}",10.0,1.0,2.0,0.0,0.0
Forgejo,IamPyu,sb,404985,2025-04-02T02:26:55Z,2025-04-13T21:27:32Z,main,1,0,136288.0,,Rust,"{""Shell"": {""size"": 10, ""percentage"": ""0.02""}, ""Rust"": {""size"": 57591, ""percentage"": ""96.36""}, ""Assembly"": {""size"": 1175, ""percentage"": ""1.97""}, ""Nix"": {""size"": 991, ""percentage"": ""1.66""}}",37.0,1.0,1.0,0.0,0.0
Forgejo,runxiyu,hare-git,382737,2025-03-13T18:23:46Z,2025-04-08T03:15:29Z,master,0,0,51161.0,NOASSERTION,Hare,"{""Hare"": {""size"": 760, ""percentage"": ""100.00""}}",7.0,1.0,1.0,0.0,0.0
Forgejo,ZeniesQis,arch-pkgs,406653,2025-04-02T22:28:26Z,2025-04-03T14:50:06Z,master,0,0,50631.0,,Shell,"{""Makefile"": {""size"": 2345, ""percentage"": ""25.51""}, ""Shell"": {""size"": 6849, ""percentage"": ""74.49""}}",50.0,1.0,6.0,0.0,0.0
Forgejo,k327,panoramaxguessr,268174,2024-10-13T14:35:20Z,2025-04-03T21:21:41Z,main,1,0,468859.0,GPL-3.0,Vue,"{""HTML"": {""size"": 1018, ""percentage"": ""2.96""}, ""Vue"": {""size"": 32962, ""percentage"": ""95.88""}, ""JavaScript"": {""size"": 399, ""percentage"": ""1.16""}}",11.0,1.0,1.0,0.0,0.0
