platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Gitea,nights,bot,95545,2025-04-01T08:27:16Z,2025-04-03T07:17:07Z,main,1,1,336812.0,MIT,TypeScript,"{""TypeScript"": {""size"": 5551, ""percentage"": ""88.45""}, ""HTML"": {""size"": 725, ""percentage"": ""11.55""}}",1.0,2.0,2.0,0.0,0.0
Gitea,jamersones,markonah,93974,2025-03-10T20:02:27Z,2025-03-10T20:02:28Z,main,0,0,24109.0,,,,,0.0,0.0,0.0,
Gitea,u-zorig,test,95977,2025-04-07T08:58:38Z,2025-04-07T08:58:39Z,main,0,0,26444.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,yocan,yocan,67544,2024-09-12T07:58:54Z,2024-09-12T08:00:21Z,main,0,0,,,,,,,,,
Gitea,byStrange,umarket,65015,2024-08-14T17:48:30Z,2024-08-14T17:48:30Z,main,0,0,31304.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,revWhiteShadow,rdp,81302,2024-12-19T16:34:24Z,2024-12-19T16:35:00Z,main,0,0,29435.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,Eldon12Tdf,GeMingDaoShiLun,68647,2024-09-29T09:06:20Z,2024-12-12T05:30:06Z,main,0,0,992059026.0,GPL-3.0,,,20.0,1.0,1.0,0.0,0.0
Gitea,Akiakizero,borsa-libro,95368,2025-03-29T15:01:35Z,2025-03-29T15:25:39Z,main,0,0,7446452.0,,Jupyter Notebook,"{""Jupyter Notebook"": {""size"": 4565351, ""percentage"": ""100.00""}}",1.0,1.0,1.0,0.0,0.0
Gitea,sarah1,story-blog,88847,2025-02-08T10:01:35Z,2025-02-10T21:20:00Z,master,0,0,31135.0,,,,8.0,2.0,3.0,2.0,2.0
Gitea,lonely_dog,10007_auto,81526,2024-12-20T16:13:54Z,2024-12-20T16:14:08Z,master,0,0,6580925.0,GPL-3.0,Shell,"{""HTML"": {""size"": 23784, ""percentage"": ""45.56""}, ""Shell"": {""size"": 28424, ""percentage"": ""54.44""}}",17.0,5.0,1.0,0.0,0.0
Gitea,ali_rasouli,kasbiyar_backend,74623,2024-12-04T08:56:21Z,2024-12-04T08:56:23Z,dev,0,0,24115.0,,,,,0.0,0.0,0.0,
Gitea,ritesh,hypr,89368,2025-02-14T06:30:58Z,2025-02-14T06:33:41Z,main,0,0,8006124.0,,CSS,"{""CSS"": {""size"": 3157, ""percentage"": ""100.00""}}",2.0,1.0,1.0,0.0,0.0
Gitea,Abdessamad_elqemary,ROOT,81500,2024-12-20T13:57:04Z,2024-12-26T15:34:43Z,master,0,0,,,,,,,,,
Gitea,klunix,SonoProject,68019,2024-09-20T17:14:25Z,2024-10-22T12:04:23Z,main,0,0,6815840.0,CC-BY-SA-4.0,JavaScript,"{""Python"": {""size"": 38625, ""percentage"": ""5.88""}, ""HTML"": {""size"": 31941, ""percentage"": ""4.87""}, ""Nix"": {""size"": 200, ""percentage"": ""0.03""}, ""CSS"": {""size"": 267657, ""percentage"": ""40.78""}, ""JavaScript"": {""size"": 317951, ""percentage"": ""48.44""}}",3.0,1.0,2.0,0.0,0.0
Gitea,Takhmina,piscinego11,73678,2024-11-25T15:11:29Z,2024-11-25T17:16:34Z,main,0,0,24110.0,,,,,0.0,0.0,0.0,
