Platform,Name,Stars,Forks,Open Issues,Created At,Updated At,Size,Language
GitHub,CS3733-Starter-Code,0,0,0,2021-04-01T19:09:00Z,2021-04-01T19:09:00Z,2128,
GitHub,homework4,0,0,0,2022-10-28T02:50:28Z,2022-10-28T02:52:10Z,6060,CSS
GitHub,r-budget-calculator-app,1,0,0,2023-05-25T19:03:28Z,2023-05-27T01:07:07Z,83,JavaScript
GitHub,Week-1-Code-Challenge.,0,0,0,2022-11-28T17:54:16Z,2022-12-10T10:37:34Z,10,JavaScript
GitHub,android_kernel_samsung_n7100,0,0,0,2015-03-28T08:30:57Z,2015-03-28T08:33:39Z,116856,C
GitHub,socket.io-currency-mock-service,0,0,0,2023-04-18T22:00:04Z,2023-07-13T07:37:51Z,47,JavaScript
GitHub,MapGlasses,0,0,0,2023-02-10T21:41:51Z,2023-02-10T21:54:34Z,251,Swift
GitHub,irish-tax-defaults,0,0,0,2015-03-29T15:04:15Z,2015-03-29T15:04:16Z,140,CSS
GitHub,LMS-Using-CPP-,0,0,0,2022-10-03T20:28:06Z,2023-12-01T16:34:58Z,7,C++
GitHub,YongHsiangHsieh.github.io,0,0,0,2023-11-29T14:04:57Z,2023-11-29T14:04:57Z,4,
GitHub,mied,0,0,2,2019-11-15T20:32:12Z,2019-11-15T20:32:19Z,887,CSS
GitHub,FishGame,2,0,0,2022-11-21T20:55:15Z,2023-10-17T16:16:18Z,1072421,C#
GitHub,ctopo,0,0,0,2015-03-05T05:13:14Z,2015-03-05T05:13:14Z,572,JavaScript
GitHub,laravel-crud-ajax,0,0,0,2022-01-26T08:47:59Z,2022-01-26T08:49:30Z,82,PHP
GitHub,kanst.github.com,0,0,0,2012-12-14T04:40:16Z,2016-09-26T16:32:17Z,32524,HTML
GitHub,js,0,0,0,2022-10-21T08:42:44Z,2022-10-21T08:46:19Z,3,JavaScript
GitHub,Shaznay-S_Instagram_Project,0,0,0,2023-08-25T18:17:31Z,2023-08-25T21:05:57Z,33,HTML
GitHub,Generating-Music-with-Machine-Learning,1,0,0,2021-11-05T18:56:02Z,2023-06-03T05:09:44Z,53,Jupyter Notebook
GitHub,e-commerce,0,0,0,2021-10-02T15:56:25Z,2021-10-05T20:47:24Z,2559,JavaScript
GitHub,paperie-chrome-extension,0,1,0,2024-02-05T21:42:21Z,2024-02-05T21:44:54Z,194,JavaScript
GitHub,asmack,0,0,0,2018-07-16T07:07:33Z,2018-07-16T07:07:35Z,3543,Java
GitHub,OOP,0,0,0,2022-10-26T06:24:02Z,2022-12-09T14:42:24Z,16918,JavaScript
GitHub,The-World-Of-Books,0,0,0,2022-06-14T19:36:47Z,2022-06-14T22:30:38Z,903,C#
GitHub,JsonWithSelenium,0,0,0,2023-11-29T14:06:22Z,2023-11-29T14:07:18Z,5,Java
GitHub,python-p3-pip-lab,0,0,0,2023-08-07T21:39:35Z,2023-08-07T21:44:34Z,8,Python
GitHub,Text_to_image,0,0,0,2023-11-04T13:35:37Z,2023-11-04T17:08:17Z,2277,Jupyter Notebook
GitHub,CDS-Projects,0,0,0,2023-07-22T23:22:55Z,2023-08-07T21:44:43Z,11652,Jupyter Notebook
GitHub,resume,0,0,0,2023-06-02T21:23:01Z,2023-08-17T15:31:04Z,372,JavaScript
GitHub,apps_installers,0,0,0,2023-08-07T21:17:28Z,2024-01-28T06:21:35Z,25480,HTML
GitHub,digitech,0,0,0,2023-06-02T22:10:17Z,2023-06-02T22:11:02Z,28,HTML
GitHub,bruckner,0,1,0,2014-12-11T18:30:41Z,2014-12-13T01:03:03Z,136,JavaScript
GitHub,small_bank,0,0,0,2023-02-12T14:21:05Z,2023-02-12T14:22:27Z,2,HTML
GitHub,basket,0,0,0,2023-03-10T22:51:10Z,2023-03-10T22:52:41Z,134,TypeScript
GitHub,JARVIS,0,0,0,2020-09-08T22:29:52Z,2023-08-25T20:05:20Z,58,Python
