platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
GitLab,jfheinrich-dev,pre-commit,67681740,2025-03-04T15:33:01.041Z,2025-03-22T18:40:27.150Z,develop,0,0.0,31163.0,,Shell,"{""Dockerfile"": {""size"": 485, ""percentage"": ""33.80""}, ""Shell"": {""size"": 950, ""percentage"": ""66.20""}}",19.0,3.0,2.0,0.0,5.0
GitLab,rasuni,opensource,67195455,2025-02-17T10:41:18.248Z,2025-03-22T18:40:25.629Z,main,0,0.0,43147983.0,ISC,TypeScript,"{""HTML"": {""size"": 1702130, ""percentage"": ""34.02""}, ""CSS"": {""size"": 5842, ""percentage"": ""0.12""}, ""TypeScript"": {""size"": 3295267, ""percentage"": ""65.86""}}",54.0,1.0,1.0,0.0,0.0
GitLab,heingroup/device-api,pychemstation,65357043,2024-12-12T20:26:13.016Z,2025-03-22T18:40:21.581Z,main,0,1.0,115425751.0,CC-BY-4.0,Python,"{""Python"": {""size"": 419648, ""percentage"": ""73.66""}, ""Makefile"": {""size"": 147706, ""percentage"": ""25.93""}, ""LLVM"": {""size"": 378, ""percentage"": ""0.07""}, ""Rust"": {""size"": 1845, ""percentage"": ""0.32""}, ""Shell"": {""size"": 104, ""percentage"": ""0.02""}}",212.0,7.0,6.0,16.0,0.0
GitLab,swp391_project_group61,swp391_project_hbs,67044100,2025-02-12T08:29:54.475Z,2025-03-22T18:40:17.859Z,main,0,2.0,27385395.0,,Java,"{""TSQL"": {""size"": 6501, ""percentage"": ""0.37""}, ""Java"": {""size"": 903082, ""percentage"": ""50.85""}, ""HTML"": {""size"": 228993, ""percentage"": ""12.89""}, ""CSS"": {""size"": 123627, ""percentage"": ""6.96""}, ""JavaScript"": {""size"": 278234, ""percentage"": ""15.67""}, ""PHP"": {""size"": 74, ""percentage"": ""0.00""}, ""SCSS"": {""size"": 235562, ""percentage"": ""13.26""}}",121.0,6.0,7.0,0.0,50.0
GitLab,crdroidandroid,proprietary_vendor_xiaomi_raphael,42202474,2022-12-30T09:17:06.505Z,2025-03-22T18:40:15.782Z,15.0,0,0.0,1398399712.0,,Makefile,"{""Makefile"": {""size"": 77198, ""percentage"": ""100.00""}}",148.0,10.0,28.0,0.0,0.0
GitLab,duyenthang-dev,LeetCodeSolution,54453588,2024-02-01T02:34:43.699Z,2025-03-22T18:40:10.173Z,master,0,0.0,144707.0,,Java,"{""Java"": {""size"": 63175, ""percentage"": ""100.00""}}",44.0,6.0,5.0,0.0,2.0
GitLab,pages,vuepress,7777404,2018-08-06T10:03:20.305Z,2025-03-22T18:40:00.861Z,main,52,190.0,564719.0,MIT,,,15.0,1.0,4.0,3.0,10.0
GitLab,sorairolake,rzopfli,60745853,2024-08-10T18:11:33.904Z,2025-03-22T18:39:59.782Z,develop,0,0.0,345381.0,Apache-2.0,Rust,"{""Rust"": {""size"": 45212, ""percentage"": ""97.90""}, ""Just"": {""size"": 969, ""percentage"": ""2.10""}}",174.0,2.0,2.0,0.0,0.0
GitLab,ubity/hiveres,hiveres.de,37918182,2022-07-18T19:18:55.988Z,2025-03-22T18:39:39.518Z,,0,,,,,,,,,133.0,0.0
GitLab,sae924/unity/dungeon-crawler,dungeon-crawler-jemo,67533391,2025-02-27T13:38:52.452Z,2025-03-22T18:39:27.733Z,main,0,0.0,33341011.0,,C#,"{""C#"": {""size"": 1851495, ""percentage"": ""99.50""}, ""HLSL"": {""size"": 2893, ""percentage"": ""0.16""}, ""ShaderLab"": {""size"": 6331, ""percentage"": ""0.34""}}",99.0,1.0,1.0,0.0,0.0
GitLab,oleksii.marynichenko,shared_files,43503829,2023-02-14T10:46:04.098Z,2025-03-22T18:39:27.370Z,master,0,1.0,27510.0,,,,6.0,33.0,4.0,30.0,34.0
GitLab,souvikpxnandy,WOGFront,47930289,2023-07-22T06:08:16.744Z,2025-03-22T18:39:11.571Z,master,0,0.0,7507402.0,,JavaScript,"{""HTML"": {""size"": 602, ""percentage"": ""0.08""}, ""JavaScript"": {""size"": 592642, ""percentage"": ""77.37""}, ""CSS"": {""size"": 172783, ""percentage"": ""22.56""}}",196.0,5.0,4.0,0.0,2.0
GitLab,JamieTheRiveter,bestguess,59620307,2024-07-06T18:04:57.378Z,2025-03-22T18:39:06.199Z,main,3,1.0,74295535.0,MIT,C,"{""Makefile"": {""size"": 11831, ""percentage"": ""4.27""}, ""Shell"": {""size"": 31078, ""percentage"": ""11.21""}, ""Gnuplot"": {""size"": 711, ""percentage"": ""0.26""}, ""HTML"": {""size"": 6685, ""percentage"": ""2.41""}, ""C"": {""size"": 227030, ""percentage"": ""81.86""}}",259.0,3.0,4.0,0.0,1.0
GitLab,DAM-M03,damvi-a-2024-2025,61669012,2024-09-13T16:12:55.189Z,2025-03-22T18:38:51.379Z,main,1,0.0,48988177.0,,Java,"{""Java"": {""size"": 400277, ""percentage"": ""72.62""}, ""HTML"": {""size"": 82882, ""percentage"": ""15.04""}, ""JavaScript"": {""size"": 37418, ""percentage"": ""6.79""}, ""CSS"": {""size"": 30650, ""percentage"": ""5.56""}}",71.0,1.0,3.0,0.0,0.0
GitLab,archsculpt,archsculpt.gitlab.io,65676481,2024-12-25T06:23:38.853Z,2025-03-22T18:38:29.157Z,main,1,0.0,56072.0,,HTML,"{""HTML"": {""size"": 4944, ""percentage"": ""100.00""}}",2.0,1.0,1.0,0.0,0.0
GitLab,untzfet,sp2025,67375804,2025-02-22T13:39:07.609Z,2025-03-22T18:38:17.144Z,main,0,0.0,96640.0,,C++,"{""C++"": {""size"": 25709, ""percentage"": ""96.81""}, ""Shell"": {""size"": 394, ""percentage"": ""1.48""}, ""Makefile"": {""size"": 454, ""percentage"": ""1.71""}}",10.0,2.0,2.0,0.0,4.0
