platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
GitHub,HumanAfterAllV,blogpost-api,955595162,2025-03-26T22:19:35Z,2025-04-05T06:02:52Z,main,0,0,98535,MIT,C#,"{""C#"": {""size"": 40415, ""percentage"": ""100.00""}}",9,1,2,0,0
GitHub,myth-faceless,react-recall,959928956,2025-04-03T15:22:09Z,2025-04-10T04:30:09Z,main,0,0,177907,,JavaScript,"{""JavaScript"": {""size"": 5396, ""percentage"": ""61.06""}, ""HTML"": {""size"": 361, ""percentage"": ""4.09""}, ""CSS"": {""size"": 3080, ""percentage"": ""34.85""}}",14,1,1,0,0
GitHub,aritchie,BuildPropertyCapture,932863792,2025-02-14T16:56:14Z,2025-04-10T02:45:28Z,main,0,0,1242980,,C#,"{""C#"": {""size"": 532789, ""percentage"": ""100.00""}}",9,1,1,0,0
GitHub,gabrielfavs,c-,798793534,2024-05-10T13:38:55Z,2025-04-09T00:15:44Z,main,0,0,84898063,,C#,"{""C#"": {""size"": 10224, ""percentage"": ""100.00""}}",6,1,2,0,0
GitHub,shivanakallie,shivanakallie,871264917,2024-10-11T15:39:24Z,2025-04-10T02:05:03Z,main,0,0,27765,,,,2,1,2,0,0
GitHub,Ahmedelfeky225,E-Commerce,954662314,2025-03-25T12:31:00Z,2025-04-13T14:23:49Z,main,0,0,36873524,,JavaScript,"{""JavaScript"": {""size"": 62706, ""percentage"": ""95.87""}, ""HTML"": {""size"": 609, ""percentage"": ""0.93""}, ""CSS"": {""size"": 2092, ""percentage"": ""3.20""}}",7,7,1,0,0
GitHub,chanonpu,chanonpu.github.io,859048862,2024-09-18T01:50:09Z,2025-04-10T03:06:21Z,main,0,0,258949,,TypeScript,"{""JavaScript"": {""size"": 734, ""percentage"": ""2.79""}, ""HTML"": {""size"": 369, ""percentage"": ""1.41""}, ""CSS"": {""size"": 1785, ""percentage"": ""6.80""}, ""TypeScript"": {""size"": 23375, ""percentage"": ""89.00""}}",34,2,1,0,0
GitHub,vinnn8,praktikum_web2,948783380,2025-03-15T00:32:25Z,2025-04-10T02:04:46Z,main,0,0,21133161,,HTML,"{""HTML"": {""size"": 11546, ""percentage"": ""55.23""}, ""CSS"": {""size"": 5007, ""percentage"": ""23.95""}, ""JavaScript"": {""size"": 4351, ""percentage"": ""20.81""}}",10,1,2,0,0
GitHub,andrea813,TP01PV2025BurgosAndrea,958700786,2025-04-01T16:12:09Z,2025-04-05T06:06:36Z,master,0,0,373192,,HTML,"{""CSS"": {""size"": 2443, ""percentage"": ""24.95""}, ""HTML"": {""size"": 7348, ""percentage"": ""75.05""}}",2,1,1,0,0
GitHub,jgwoolley,nf2t-cli,909551648,2024-12-29T03:46:36Z,2025-04-10T01:59:16Z,main,1,0,599841,Apache-2.0,Java,"{""Shell"": {""size"": 3587, ""percentage"": ""2.96""}, ""HTML"": {""size"": 1035, ""percentage"": ""0.85""}, ""Java"": {""size"": 114290, ""percentage"": ""94.34""}, ""FreeMarker"": {""size"": 2234, ""percentage"": ""1.84""}}",84,2,3,0,2
